filename,width,height,class,xmin,ymin,xmax,ymax
00000.jpg,1024,1024,hatchback,35,491,971,858
00000.jpg,1024,1024,headlamp,701,679,840,723
00000.jpg,1024,1024,headlamp,940,674,963,713
00000.jpg,1024,1024,grill,880,689,928,782
00000.jpg,1024,1024,wheel,533,726,624,847
00000.jpg,1024,1024,wheel,67,704,145,813
00000.jpg,1024,1024,opening,739,755,965,802
00000.jpg,1024,1024,bodysurface,144,598,521,818
00000.jpg,1024,1024,rearlamp,50,608,69,639
00000.jpg,1024,1024,dlo,127,508,491,626
00000.jpg,1024,1024,mirror,404,584,491,627
00000.jpg,1024,1024,fender,506,638,663,798
00000.jpg,1024,1024,fender,56,590,190,772
00000.jpg,1024,1024,frontbumper,617,697,970,821
00000.jpg,1024,1024,hood,523,608,948,706
00001.jpg,1024,1024,wheel,327,684,446,849
00001.jpg,1024,1024,wheel,28,667,83,815
00001.jpg,1024,1024,headlamp,476,625,681,680
00001.jpg,1024,1024,headlamp,902,621,1004,676
00001.jpg,1024,1024,grill,758,635,847,769
00001.jpg,1024,1024,opening,516,731,1005,798
00001.jpg,1024,1024,dlo,99,394,332,548
00001.jpg,1024,1024,frontbumper,399,655,1008,816
00001.jpg,1024,1024,bodysurface,95,519,332,776
00001.jpg,1024,1024,mirror,234,491,332,548
00001.jpg,1024,1024,hatchback,21,372,1009,872
00001.jpg,1024,1024,hood,362,530,940,656
00004.jpg,1024,1024,rearlamp,336,556,480,593
00004.jpg,1024,1024,rearlamp,139,538,188,580
00004.jpg,1024,1024,dlo,506,438,789,551
00004.jpg,1024,1024,wheel,520,658,582,784
00004.jpg,1024,1024,wheel,830,635,872,734
00004.jpg,1024,1024,rearbumper,121,597,539,759
00004.jpg,1024,1024,diffuser,143,692,411,757
00004.jpg,1024,1024,bodysurface,599,540,817,708
00004.jpg,1024,1024,hatchback,121,418,890,805
00004.jpg,1024,1024,fender,488,533,611,692
00004.jpg,1024,1024,fender,806,550,890,668
00004.jpg,1024,1024,mirror,758,513,800,550
00005.jpg,1024,1024,wheel,749,704,851,809
00005.jpg,1024,1024,wheel,141,699,249,809
00005.jpg,1024,1024,headlamp,920,661,956,696
00005.jpg,1024,1024,dlo,188,510,682,618
00005.jpg,1024,1024,opening,945,727,961,760
00005.jpg,1024,1024,frontbumper,850,684,964,784
00005.jpg,1024,1024,rearlamp,63,606,120,639
00005.jpg,1024,1024,rearbumper,51,652,162,777
00005.jpg,1024,1024,bodysurface,282,597,719,770
